Common_Name,Genus,Species,ItemCoordX,ItemCoordY,origin
참느릅나무,Ulmus,parvifolia,36.02931022,126.7181814,12-L-00001
까마귀밥나무,Ribes,fasciculatum,36.02930895,126.718161,12-L-00002
까마귀밥나무,Ribes,fasciculatum,36.02931693,126.7181416,12-L-00003
까마귀밥나무,Ribes,fasciculatum,36.02933243,126.7181552,12-L-00004
까마귀밥나무,Ribes,fasciculatum,36.02933578,126.7181498,12-L-00005
까마귀밥나무,Ribes,fasciculatum,36.02933489,126.7181422,12-L-00006
까마귀밥나무,Ribes,fasciculatum,36.02932754,126.7181523,12-L-00007
동백나무,Camellia ,japonica,36.02940063,126.718111,12-L-00008
동백나무,Camellia ,japonica,36.02934626,126.7181178,12-L-00009
동백나무,Camellia ,japonica,36.02935272,126.7181302,12-L-00010
동백나무,Camellia ,japonica,36.0293573,126.718145,12-L-00011
동백나무,Camellia ,japonica,36.02940392,126.7181204,12-L-00012
동백나무,Camellia ,japonica,36.0293604,126.7181151,12-L-00013
동백나무,Camellia ,japonica,36.02941884,126.7180923,12-L-00014
동백나무,Camellia ,japonica,36.02943084,126.7181042,12-L-00015
동백나무,Camellia ,japonica,36.0294288,126.7181323,12-L-00016
동백나무,Camellia ,japonica,36.02944518,126.7181102,12-L-00017
아왜나무,Viburnum,odoratissimum,36.02941429,126.7181527,12-L-00019
아왜나무,Viburnum,odoratissimum,36.02942598,126.7181649,12-L-00020
아왜나무,Viburnum,odoratissimum,36.02943168,126.7181496,12-L-00021
동백나무,Camellia ,japonica,36.0294628,126.7181271,12-L-00022
동백나무,Camellia ,japonica,36.02948643,126.7180914,12-L-00023
동백나무,Camellia ,japonica,36.0295373,126.7181331,12-L-00024
동백나무,Camellia ,japonica,36.02949808,126.7181126,12-L-00025
동백나무,Camellia ,japonica,36.02950464,126.7180897,12-L-00026
동백나무,Camellia ,japonica,36.02952867,126.7180982,12-L-00028
동백나무,Camellia ,japonica,36.02954153,126.7180828,12-L-00029
동백나무,Camellia ,japonica,36.02958042,126.7180907,12-L-00030
동백나무,Camellia ,japonica,36.02958088,126.7181175,12-L-00031
동백나무,Camellia ,japonica,36.02959518,126.7180876,12-L-00032
종가시나무,Quercus,glauca,36.02960373,126.7181033,12-L-00033
동백나무,Camellia ,japonica,36.02960962,126.7181291,12-L-00034
붉가시나무,Quercus,acuta?,36.02962918,126.7180458,12-L-00035
동백나무,Camellia ,japonica,36.02962902,126.718112,12-L-00036
동백나무,Camellia ,japonica,36.02962497,126.7180907,12-L-00037
붉가시나무,Quercus,acuta?,36.0296279,126.7180866,12-L-00038
붉가시나무,Quercus,acuta?,36.02964132,126.7180584,12-L-00039
붉가시나무,Quercus,acuta?,36.02963698,126.7180499,12-L-00040
광나무,Ligustrum,japonicum,36.02960312,126.7180717,12-L-00042
광나무,Ligustrum,japonicum,36.02964327,126.7180822,12-L-00043
붉가시나무,Quercus,acuta?,36.02965147,126.7180444,12-L-00044
광나무,Ligustrum,japonicum,36.02965768,126.7180462,12-L-00045
붉가시나무,Quercus,acuta?,36.02964984,126.7180531,12-L-00046
붉가시나무,Quercus,acuta?,36.02965936,126.718057,12-L-00047
광나무,Ligustrum,japonicum,36.0296747,126.7180541,12-L-00048
광나무,Ligustrum,japonicum,36.02967643,126.71807,12-L-00049
붉가시나무,Quercus,acuta?,36.02966156,126.7180845,12-L-00050
동백나무,Camellia ,japonica,36.0296904,126.7180548,12-L-00052
동백나무,Camellia ,japonica,36.02968002,126.7180853,12-L-00053
